INSERT ALL
  INTO customer(cus_id, pwd, name, tel, email, address, reg, rrn, class_id, dormancy) VALUES ('CUS001', 'pw001', '강서람', '010-7366-6957', 'gsr@test.com', '서울시 테스트로 1번지', TO_DATE('2025-11-12', 'YYYY-MM-DD'), '900907-2952441', '0', 'N')
  INTO customer(cus_id, pwd, name, tel, email, address, reg, rrn, class_id, dormancy) VALUES ('CUS002', 'pw002', '오현현', '010-9427-5493', 'ohh@test.com', '서울시 테스트로 2번지', TO_DATE('2025-11-12', 'YYYY-MM-DD'), '700415-2325881', '0', 'N')
  INTO customer(cus_id, pwd, name, tel, email, address, reg, rrn, class_id, dormancy) VALUES ('CUS003', 'pw003', '신지경', '010-9129-5705', 'sjk@test.com', '서울시 테스트로 3번지', TO_DATE('2025-11-12', 'YYYY-MM-DD'), '701012-6561345', '0', 'N')
  INTO customer(cus_id, pwd, name, tel, email, address, reg, rrn, class_id, dormancy) VALUES ('CUS004', 'pw004', '최민연', '010-1873-1478', 'cmy@test.com', '서울시 테스트로 4번지', TO_DATE('2025-11-12', 'YYYY-MM-DD'), '710106-7190159', '0', 'N')
  INTO customer(cus_id, pwd, name, tel, email, address, reg, rrn, class_id, dormancy) VALUES ('CUS005', 'pw005', '오예민', '010-9221-9230', 'oym@test.com', '서울시 테스트로 5번지', TO_DATE('2025-11-12', 'YYYY-MM-DD'), '800503-7818161', '0', 'N')
  INTO customer(cus_id, pwd, name, tel, email, address, reg, rrn, class_id, dormancy) VALUES ('CUS006', 'pw006', '권하후', '010-9516-8717', 'khh@test.com', '서울시 테스트로 6번지', TO_DATE('2025-11-12', 'YYYY-MM-DD'), '991008-6438099', '0', 'N')
  INTO customer(cus_id, pwd, name, tel, email, address, reg, rrn, class_id, dormancy) VALUES ('CUS007', 'pw007', '임예현', '010-7814-9773', 'lyh@test.com', '서울시 테스트로 7번지', TO_DATE('2025-11-12', 'YYYY-MM-DD'), '910626-8810388', '0', 'N')
  INTO customer(cus_id, pwd, name, tel, email, address, reg, rrn, class_id, dormancy) VALUES ('CUS008', 'pw008', '김나아', '010-9853-1956', 'kn@test.com', '서울시 테스트로 8번지', TO_DATE('2025-11-12', 'YYYY-MM-DD'), '850903-6381328', '0', 'N')
  INTO customer(cus_id, pwd, name, tel, email, address, reg, rrn, class_id, dormancy) VALUES ('CUS009', 'pw009', '오은람', '010-4981-1741', 'oer@test.com', '서울시 테스트로 9번지', TO_DATE('2025-11-12', 'YYYY-MM-DD'), '730223-7122663', '0', 'N')
  INTO customer(cus_id, pwd, name, tel, email, address, reg, rrn, class_id, dormancy) VALUES ('CUS010', 'pw010', '이수솔', '010-4233-5539', 'lss@test.com', '서울시 테스트로 10번지', TO_DATE('2025-11-12', 'YYYY-MM-DD'), '731107-4783066', '0', 'N')
  INTO customer(cus_id, pwd, name, tel, email, address, reg, rrn, class_id, dormancy) VALUES ('CUS011', 'pw011', '조시람', '010-7269-1691', 'jsr@test.com', '서울시 테스트로 11번지', TO_DATE('2025-11-12', 'YYYY-MM-DD'), '801127-1313529', '0', 'N')
